"Freq [GHz]","dB(S(1,2)) []"
26,-121.574935324583
26.02,-121.219242842532
26.04,-120.86223618081
26.06,-120.503901858698
26.08,-120.144226209891
26.1,-119.78319537873
26.12,-119.420795315258
26.14,-119.057011770628
26.16,-118.691830292115
26.18,-118.325236217632
26.2,-117.957214671884
26.22,-117.587750559832
26.24,-117.216828563486
26.26,-116.844433132627
26.28,-116.47054848403
26.3,-116.095158592446
26.32,-115.71824718627
26.34,-115.339797741018
26.36,-114.959793473838
26.38,-114.578217336405
26.4,-114.195052009986
26.42,-113.810279896909
26.44,-113.423883115859
26.46,-113.035843493825
26.48,-112.646142559042
26.5,-112.254761534324
26.52,-111.861681328297
26.54,-111.466882529628
26.56,-111.070345397381
26.58,-110.67204985386
26.6,-110.271975475457
26.62,-109.870101484714
26.64,-109.466406740806
26.66,-109.060869730986
26.68,-108.65346856044
26.7,-108.244180942985
26.72,-107.832984190889
26.74,-107.419855204291
26.76,-107.004770460709
26.78,-106.587706003973
26.8,-106.168637432388
26.82,-105.747539887589
26.84,-105.32438804165
26.86,-104.899156084781
26.88,-104.471817712386
26.9,-104.042346111618
26.92,-103.610713946859
26.94,-103.17689334588
26.96,-102.740855884637
26.98,-102.302572571903
27,-101.862013833127
27.02,-101.419149493827
27.04,-100.973948762333
27.06,-100.526380212075
27.08,-100.07641176316
27.1,-99.6240106627929
27.12,-99.1691434658158
27.14,-98.7117760136988
27.16,-98.251873413121
27.18,-97.789400014044
27.2,-97.3243193860425
27.22,-96.8565942944988
27.24,-96.3861866755357
27.26,-95.9130576099712
27.28,-95.4371672963016
27.3,-94.9584750224373
27.32,-94.4769391363165
27.34,-93.9925170153693
27.36,-93.505165034804
27.38,-93.0148385341201
27.4,-92.5214917827095
27.42,-92.0250779435739
27.44,-91.5255490357413
27.46,-91.0228558947103
27.48,-90.516948131497
27.5,-90.0077740895485
27.52,-89.4952807997594
27.54,-88.9794139335349
27.56,-88.460117753457
27.58,-87.9373350618784
27.6,-87.4110071468578
27.62,-86.8810737255569
27.64,-86.3474728849652
27.66,-85.8101410195579
27.68,-85.2690127660083
27.7,-84.7240209344165
27.72,-84.1750964362359
27.74,-83.6221682083277
27.76,-83.0651631330974
27.78,-82.5040059543995
27.8,-81.9386191889799
27.82,-81.3689230329774
27.84,-80.7948352634825
27.86,-80.2162711344285
27.88,-79.6331432667295
27.9,-79.0453615320723
27.92,-78.4528329299909
27.94,-77.8554614577261
27.96,-77.2531479723191
27.98,-76.6457900443588
28,-76.0332818027834
28.02,-75.4155137700185
28.04,-74.7923726867272
28.06,-74.1637413252688
28.08,-73.5294982911161
28.1,-72.8895178110775
28.12,-72.2436695073632
28.14,-71.5918181562106
28.16,-70.9338234298332
28.18,-70.2695396201684
28.2,-69.5988153428804
28.22,-68.921493219806
28.24,-68.2374095378994
28.26,-67.5463938824933
28.28,-66.8482687424396
28.3,-66.1428490844382
28.32,-65.4299418935492
28.34,-64.7093456765092
28.36,-63.980849924087
28.38,-63.2442345282467
28.4,-62.4992691493691
28.42,-61.7457125281697
28.44,-60.9833117362597
28.46,-60.2118013585189
28.48,-59.4309025995163
28.5,-58.6403223051566
28.52,-57.8397518895045
28.54,-57.0288661553155
28.56,-56.2073219951266
28.58,-55.3747569578177
28.6,-54.5307876632798
28.62,-53.6750080451429
28.64,-52.8069873983387
28.66,-51.9262682045738
28.68,-51.032363704314
28.7,-50.1247551786438
28.72,-49.2028888980619
28.74,-48.2661726877536
28.76,-47.3139720498701
28.78,-46.3456057724849
28.8,-45.3603409418489
28.82,-44.3573872587676
28.84,-43.3358905408883
28.86,-42.2949252696399
28.88,-41.2334860127931
28.9,-40.1504775201881
28.92,-39.0447032502653
28.94,-37.9148520379109
28.96,-36.7594825595675
28.98,-35.5770051905451
29,-34.3656607855015
29.02,-33.123495854646
29.04,-31.848333573944
29.06,-30.5377400952391
29.08,-29.1889857873033
29.1,-27.7990014898624
29.12,-26.3643308918305
29.14,-24.8810823289798
29.16,-23.3448877827111
29.18,-21.7508859570217
29.2,-20.0937646958929
29.22,-18.3679352340324
29.24,-16.5679862833693
29.26,-14.68971820919
29.28,-12.7323564411563
29.3,-10.7030847089873
29.32,-8.62580370311768
29.34,-6.55615322077088
29.36,-4.60046693826967
29.38,-2.91942682859661
29.4,-1.67580649885223
29.42,-0.927735005894434
29.44,-0.581980531420477
29.46,-0.473974811745797
29.48,-0.465684912517251
29.5,-0.477067840445599
29.52,-0.474103382672867
29.54,-0.449793617303159
29.56,-0.410522392400319
29.58,-0.367886641877621
29.6,-0.333935658009575
29.62,-0.318399548776074
29.64,-0.327252351323907
29.66,-0.362330554396562
29.68,-0.42178470730363
29.7,-0.501067074527607
29.72,-0.594113202129627
29.74,-0.694426313863485
29.76,-0.795893529633153
29.78,-0.893288304641659
29.8,-0.982499152797408
29.82,-1.06056116187075
29.84,-1.12556751393766
29.86,-1.17652170179194
29.88,-1.2131709382503
29.9,-1.23584417591203
29.92,-1.24530615321228
29.94,-1.2426315113888
29.96,-1.22909905707712
29.98,-1.20610446145993
30,-1.17508915782856
30.02,-1.13748329870178
30.04,-1.09466097661966
30.06,-1.04790628304879
30.08,-0.998389070964706
30.1,-0.947149461104147
30.12,-0.89509019382877
30.14,-0.842975905289971
30.16,-0.791438334915169
30.18,-0.740986387395717
30.2,-0.692019905091077
30.22,-0.644845973522411
30.24,-0.599696588976425
30.26,-0.556746559065856
30.28,-0.516130574794062
30.3,-0.477958476249928
30.32,-0.442327828016773
30.34,-0.409333027604666
30.36,-0.379070304229792
30.38,-0.351638150568588
30.4,-0.327133000516921
30.42,-0.305640361003888
30.44,-0.287222165671308
30.46,-0.271901877716153
30.48,-0.259649853460646
30.5,-0.250372700755473
30.52,-0.243911832750385
30.54,-0.2400581351359
30.56,-0.238591653866117
30.58,-0.239357503820524
30.6,-0.242391803425602
30.62,-0.248114203425999
30.64,-0.257605873485687
30.66,-0.27299190940776
30.68,-0.297941116051384
30.7,-0.338276437632364
30.72,-0.402643696945407
30.74,-0.503100238250547
30.76,-0.655354209373275
30.78,-0.878245960144578
30.8,-1.19203364918414
30.82,-1.61531900494593
30.84,-2.16113210124888
30.86,-2.83350351752817
30.88,-3.62607848131774
30.9,-4.52348549048686
30.92,-5.50476390208738
30.94,-6.54730065362129
30.96,-7.62994070954982
30.98,-8.73474252275219
31,-9.84753637231561
31.02,-10.957721409785
31.04,-12.0577096769545
31.06,-13.1422860338269
31.08,-14.2080213697383
31.1,-15.252789882696
31.12,-16.2753955643906
31.14,-17.275293782066
31.16,-18.2523886100034
31.18,-19.2068875772422
31.2,-20.1391986693002
31.22,-21.0498578701721
31.24,-21.9394785354196
31.26,-22.8087162658026
31.28,-23.6582447413005
31.3,-24.4887392846557
31.32,-25.3008658649527
31.34,-26.0952739219637
31.36,-26.8725918666645
31.38,-27.633424448685
31.4,-28.3783514182759
31.42,-29.1079270777079
31.44,-29.8226804354571
31.46,-30.5231157604586
31.48,-31.2097133933501
31.5,-31.8829307140385
31.52,-32.5432031951494
31.54,-33.190945492486
31.56,-33.8265525389928
31.58,-34.4504006196899
31.6,-35.0628484128535
31.62,-35.6642379882419
31.64,-36.2548957570823
31.66,-36.8351333712687
31.68,-37.4052485711061
31.7,-37.9655259822269
31.72,-38.5162378631621
31.74,-39.0576448055789
31.76,-39.5899963895339
31.78,-40.1135317962437
31.8,-40.6284803809365
31.82,-41.1350622083364
31.84,-41.633488553255
31.86,-42.1239623686736
31.88,-42.6066787235783
31.9,-43.0818252126815
31.92,-43.5495823400277
31.94,-44.0101238783528
31.96,-44.4636172059341
31.98,-44.9102236225388
32,-45.35009864597
32.02,-45.7833922905866
32.04,-46.2102493290757
32.06,-46.6308095386573
32.08,-47.0452079328063
32.1,-47.4535749795003
32.12,-47.856036806918
32.14,-48.2527153974441
32.16,-48.6437287707718
32.18,-49.0291911568343
32.2,-49.409213159236
32.22,-49.7839019098109
32.24,-50.1533612148837
32.26,-50.5176916937664
32.28,-50.8769909099869
32.3,-51.2313534957053
32.32,-51.5808712697473
32.34,-51.9256333496412
32.36,-52.2657262580336
32.38,-52.601234023818
32.4,-52.9322382782921
32.42,-53.2588183466446
32.44,-53.5810513350365
32.46,-53.8990122135393
32.48,-54.212773895165
32.5,-54.5224073112099
32.52,-54.827981483122
32.54,-55.1295635910812
32.56,-55.4272190394784
32.58,-55.7210115194605
32.6,-56.0110030686992
32.62,-56.2972541285344
32.64,-56.5798235986288
32.66,-56.8587688892673
32.68,-57.1341459714224
32.7,-57.4060094246985
32.72,-57.6744124832697
32.74,-57.9394070799036
32.76,-58.2010438881758
32.78,-58.4593723629594
32.8,-58.7144407792772
32.82,-58.9662962695946
32.84,-59.2149848596284
32.86,-59.4605515027474
32.88,-59.7030401130242
32.9,-59.9424935970083
32.92,-60.1789538842754
32.94,-60.4124619568152
32.96,-60.6430578773019
32.98,-60.8707808163117
33,-61.0956690785185
33.02,-61.317760127932
33.04,-61.5370906122019
33.06,-61.7536963860463
33.08,-61.9676125338266
33.1,-62.1788733913257
33.12,-62.3875125667413
33.14,-62.5935629609439
33.16,-62.7970567870283
33.18,-62.9980255891789
33.2,-63.1965002608924
33.22,-63.3925110625702
33.24,-63.5860876385157
33.26,-63.7772590333579
33.28,-63.9660537079232
33.3,-64.1524995545809
33.32,-64.3366239120807
33.34,-64.5184535799004
33.36,-64.6980148321332
33.38,-64.8753334309149
33.4,-65.050434639431
33.42,-65.2233432344983
33.44,-65.394083518753
33.46,-65.5626793324533
33.48,-65.7291540649109
33.5,-65.8935306655664
33.52,-66.05583165473
33.54,-66.2160791339762
33.56,-66.3742947962413
33.58,-66.5304999355956
33.6,-66.6847154567361
33.62,-66.8369618841826
33.64,-66.9872593712097
33.66,-67.1356277085095
33.68,-67.2820863326007
33.7,-67.4266543339872
33.72,-67.5693504650912
33.74,-67.7101931479435
33.76,-67.8492004816629
33.78,-67.9863902497148
33.8,-68.12177992697
33.82,-68.2553866865596
33.84,-68.3872274065413
33.86,-68.5173186763719
33.88,-68.6456768032141
33.9,-68.7723178180552
33.92,-68.8972574816636
33.94,-69.0205112903861
33.96,-69.1420944817814
33.98,-69.2620220401078
34,-69.3803087016562
34.02,-69.4969689599481
34.04,-69.6120170707936
34.06,-69.7254670572094
34.08,-69.8373327142176
34.1,-69.9476276135127
34.12,-70.0563651080091
34.14,-70.1635583362689
34.16,-70.2692202268217
34.18,-70.3733635023642
34.2,-70.4760006838616
34.22,-70.5771440945456
34.24,-70.6768058638002
34.26,-70.7749979309637
34.28,-70.8717320490281
34.3,-70.9670197882498
34.32,-71.0608725396702
34.34,-71.1533015185462
34.36,-71.2443177677082
34.38,-71.3339321608202
34.4,-71.4221554055769
34.42,-71.5089980468122
34.44,-71.5944704695399
34.46,-71.6785829019225
34.48,-71.7613454181589
34.5,-71.8427679413228
34.52,-71.9228602461193
34.54,-72.0016319615818
34.56,-72.0790925737105
34.58,-72.1552514280416
34.6,-72.2301177321688
34.62,-72.3037005581942
34.64,-72.3760088451389
34.66,-72.4470514012845
34.68,-72.5168369064712
34.7,-72.5853739143452
34.72,-72.65267085455
34.74,-72.7187360348747
34.76,-72.7835776433548
34.78,-72.8472037503257
34.8,-72.9096223104351
34.82,-72.970841164608
34.84,-73.0308680419714
34.86,-73.0897105617454
34.88,-73.1473762350812
34.9,-73.203872466875
34.92,-73.2592065575326
34.94,-73.3133857047099
34.96,-73.3664170050051
34.98,-73.4183074556313
35,-73.4690639560429
35.02,-73.5186933095366
35.04,-73.567202224826
35.06,-73.6145973175731
35.08,-73.6608851119005
35.1,-73.7060720418783
35.12,-73.7501644529709
35.14,-73.7931686034658
35.16,-73.8350906658804
35.18,-73.8759367283334
35.2,-73.9157127959018
35.22,-73.9544247919464
35.24,-73.9920785594242
35.26,-74.0286798621697
35.28,-74.0642343861617
35.3,-74.0987477407662
35.32,-74.1322254599647
35.34,-74.1646730035598
35.36,-74.1960957583604
35.38,-74.2264990393597
35.4,-74.2558880908818
35.42,-74.2842680877336
35.44,-74.311644136316
35.46,-74.338021275743
35.48,-74.3634044789355
35.5,-74.3877986537054
35.52,-74.4112086438248
35.54,-74.4336392300911
35.56,-74.455095131373
35.58,-74.4755810056475
35.6,-74.4951014510366
35.62,-74.513661006821
35.64,-74.5312641544592
35.66,-74.5479153185864
35.68,-74.5636188680253
35.7,-74.5783791167624
35.72,-74.5922003249516
35.74,-74.6050866998904
35.76,-74.6170423970007
35.78,-74.6280715208042
35.8,-74.6381781259002
35.82,-74.6473662179338
35.84,-74.6556397545732
35.86,-74.6630026464727
35.88,-74.6694587582544
35.9,-74.6750119094785
35.92,-74.6796658756153
35.94,-74.683424389028
35.96,-74.6862911399558
35.98,-74.6882697774954
36,-74.6893639106005
