"Freq [GHz]","im(S(2,1)) []","re(S(2,1)) []"
26,-3.21086299284973E-07,7.69895385987481E-07
26.02,-3.45179681705342E-07,7.97543020275139E-07
26.04,-3.70725254009271E-07,8.26130762838875E-07
26.06,-3.9780629863198E-07,8.55687273406919E-07
26.08,-4.26510915557453E-07,8.8624178193129E-07
26.1,-4.56932310416726E-07,9.17824067900904E-07
26.12,-4.89169100813183E-07,9.5046443494521E-07
26.14,-5.23325641637604E-07,9.84193680585551E-07
26.16,-5.59512371085596E-07,1.01904306037875E-06
26.18,-5.97846178230886E-07,1.05504424616065E-06
26.2,-6.38450794221695E-07,1.09222927705694E-06
26.22,-6.81457208036506E-07,1.1306305035503E-06
26.24,-7.27004108963023E-07,1.17028052279436E-06
26.26,-7.7523835701554E-07,1.21121210486646E-06
26.28,-8.26315483963863E-07,1.2534581091422E-06
26.3,-8.80400226202563E-07,1.29705138875409E-06
26.32,-9.3766709214404E-07,1.34202468356661E-06
26.34,-9.98300966396867E-07,1.38841049887466E-06
26.36,-1.06249775304766E-06,1.43624096925329E-06
26.38,-1.13046506084567E-06,1.48554770588625E-06
26.4,-1.2024229333296E-06,1.53636162564634E-06
26.42,-1.27860462663261E-06,1.58871275987049E-06
26.44,-1.35925743834849E-06,1.64263004108485E-06
26.46,-1.4446435915766E-06,1.69814106560112E-06
26.48,-1.53504117678343E-06,1.75527182879436E-06
26.5,-1.63074515686108E-06,1.814046431307E-06
26.52,-1.73206843873937E-06,1.87448675259982E-06
26.54,-1.83934301678688E-06,1.93661208855294E-06
26.56,-1.95292119309474E-06,2.00043875033655E-06
26.58,-2.07317687944884E-06,2.06597961946864E-06
26.6,-2.20050698770429E-06,2.13324365572474E-06
26.62,-2.33533291392669E-06,2.20223535263387E-06
26.64,-2.47810212394068E-06,2.27295413556814E-06
26.66,-2.62928984653209E-06,2.34539369669513E-06
26.68,-2.78940088268717E-06,2.41954126008745E-06
26.7,-2.95897153947777E-06,2.49537677111286E-06
26.72,-3.13857169662084E-06,2.57287200108723E-06
26.74,-3.32880701602901E-06,2.6519895594886E-06
26.76,-3.53032130525043E-06,2.7326818052635E-06
26.78,-3.74379904453333E-06,2.81488964530969E-06
26.8,-3.96996809110616E-06,2.89854121053047E-06
26.82,-4.20960257261859E-06,2.9835503961555E-06
26.84,-4.46352598394397E-06,3.06981525301764E-06
26.86,-4.73261450279982E-06,3.15721621499808E-06
26.88,-5.01780054000781E-06,3.24561414554734E-06
26.9,-5.32007654154337E-06,3.33484818568795E-06
26.92,-5.64049906189557E-06,3.42473338254448E-06
26.94,-5.98019312852133E-06,3.51505807682694E-06
26.96,-6.34035691931591E-06,3.6055810247053E-06
26.98,-6.72226677677672E-06,3.69602822606154E-06
27,-7.12728258396545E-06,3.78608943015221E-06
27.02,-7.55685353004825E-06,3.87541428510246E-06
27.04,-8.01252429443925E-06,3.96360809412848E-06
27.06,-8.49594168184007E-06,4.05022713866512E-06
27.08,-9.00886174232459E-06,4.13477352286995E-06
27.1,-9.5531574132345E-06,4.21668948984013E-06
27.12,-1.01308267232967E-05,4.29535115485253E-06
27.14,-1.07440016016321E-05,4.37006159367771E-06
27.16,-1.13949573385889E-05,4.4400432190648E-06
27.18,-1.20861227476911E-05,4.50442936959176E-06
27.2,-1.28200910840935E-05,4.56225502806604E-06
27.22,-1.35996317762162E-05,4.61244657593334E-06
27.24,-1.44277030351019E-05,4.65381048184379E-06
27.26,-1.53074654077992E-05,4.68502080923796E-06
27.28,-1.62422963489161E-05,4.70460541554867E-06
