"Freq [GHz]","dB(S(2,1)) []"
26,-132.125633949813
26.01,-131.943885898909
26.02,-131.761803209817
26.03,-131.579384164673
26.04,-131.396627034007
26.05,-131.213530076291
26.06,-131.030091538635
26.07,-130.846309653019
26.08,-130.662182641848
26.09,-130.477708712619
26.1,-130.292886062326
26.11,-130.107712872643
26.12,-129.922187312642
26.13,-129.73630753881
26.14,-129.550071692981
26.15,-129.363477905414
26.16,-129.176524291235
26.17,-128.989208949654
26.18,-128.801529968572
26.19,-128.61348542143
26.2,-128.425073365999
26.21,-128.236291845235
26.22,-128.047138888519
26.23,-127.857612511103
26.24,-127.667710710137
26.25,-127.477431468962
26.26,-127.28677275676
26.27,-127.095732524289
26.28,-126.904308708491
26.29,-126.712499231546
26.3,-126.520301995146
26.31,-126.327714888145
26.32,-126.134735780789
26.33,-125.941362528684
26.34,-125.747592968735
26.35,-125.553424920427
26.36,-125.358856185756
26.37,-125.163884551439
26.38,-124.968507783734
26.39,-124.772723631592
26.4,-124.576529826098
26.41,-124.379924079338
26.42,-124.18290408549
26.43,-123.985467518536
26.44,-123.787612034501
26.45,-123.589335269961
26.46,-123.390634839296
26.47,-123.191508341448
26.48,-122.9919533522
26.49,-122.791967427175
26.5,-122.591548101943
26.51,-122.390692891661
26.52,-122.189399289676
26.53,-121.987664767706
26.54,-121.785486776363
26.55,-121.582862744982
26.56,-121.379790078759
26.57,-121.176266161894
26.58,-120.972288355824
26.59,-120.767853999036
26.6,-120.562960404778
26.61,-120.357604865556
26.62,-120.151784648242
26.63,-119.945496995397
26.64,-119.73873912643
26.65,-119.531508233892
26.66,-119.323801486801
26.67,-119.115616027622
26.68,-118.906948974342
26.69,-118.697797416561
26.7,-118.488158420302
26.71,-118.278029022268
26.72,-118.06740623296
26.73,-117.856287035919
26.74,-117.644668385699
26.75,-117.432547208885
26.76,-117.21992040361
26.77,-117.006784839498
26.78,-116.793137355497
26.79,-116.578974762464
26.8,-116.364293839126
26.81,-116.149091334938
26.82,-115.933363967925
26.83,-115.717108424912
26.84,-115.50032136046
26.85,-115.282999397279
26.86,-115.065139124788
26.87,-114.846737099875
26.88,-114.627789845481
26.89,-114.408293850361
26.9,-114.188245568487
26.91,-113.967641419768
26.92,-113.746477787477
26.93,-113.524751019522
26.94,-113.302457426617
26.95,-113.079593283049
26.96,-112.856154825362
26.97,-112.63213825201
26.98,-112.407539722734
26.99,-112.182355358032
27,-111.956581238729
27.01,-111.730213405168
27.02,-111.503247857071
27.03,-111.275680552541
27.04,-111.047507406965
27.05,-110.818724294212
27.06,-110.589327043851
27.07,-110.359311441996
27.08,-110.128673229625
27.09,-109.897408102642
27.1,-109.665511711009
27.11,-109.432979658367
27.12,-109.19980750043
27.13,-108.965990745179
27.14,-108.731524851705
