"Freq [GHz]","dB(S(2,1)) []","dB(S(2,1))_1 []"
26,-156.003063784352,-155.816292364735
26.01,-155.790144449989,-155.603285620547
26.02,-155.57699975701,-155.39004375222
26.03,-155.363621380116,-155.176558878326
26.04,-155.150001285884,-154.962823261069
26.05,-154.936131582495,-154.748829246563
26.06,-154.722004444527,-154.534569340396
26.07,-154.507612209173,-154.320036124372
26.08,-154.29294734782,-154.105222310755
26.09,-154.078002403398,-153.890120729493
26.1,-153.862770087092,-153.674724324188
26.11,-153.647243212836,-153.459026150531
26.12,-153.431414700137,-153.243019358899
26.13,-153.21527759191,-153.026697230721
26.14,-152.998825055272,-152.810053140571
26.15,-152.782050378879,-152.593080584995
26.16,-152.564946909147,-152.375773141962
26.17,-152.347508153099,-152.158124523639
26.18,-152.129727727139,-151.940128519821
26.19,-151.911599327075,-151.72177902242
26.2,-151.693116761859,-151.503070030094
26.21,-151.474273922697,-151.283995635264
26.22,-151.255064859254,-151.06455001828
26.23,-151.035483649899,-150.844727456355
26.24,-150.815524505901,-150.624522314407
26.25,-150.595181717329,-150.403929034441
26.26,-150.374449687269,-150.182942178841
26.27,-150.153322870286,-149.961556349873
26.28,-149.931795843833,-149.739766255712
26.29,-149.709863237262,-149.517566677028
26.3,-149.487519797776,-149.294952471864
26.31,-149.264760311336,-149.071918575806
26.32,-149.041579664352,-148.848459988476
26.33,-148.81797283041,-148.624571794747
26.34,-148.593934815808,-148.40024913284
26.35,-148.369460747629,-148.175487212122
26.36,-148.144545788503,-147.950281300883
26.37,-147.919185159407,-147.724626750325
26.38,-147.693374165727,-147.498518941981
26.39,-147.467108177001,-147.271953326801
26.4,-147.240382603035,-147.044925421029
26.41,-147.013192931472,-146.817430780415
26.42,-146.785534680011,-146.58946501829
26.43,-146.557403440131,-146.36102378341
26.44,-146.328794839512,-146.132102795655
26.45,-146.099704567917,-145.902697803435
26.46,-145.87012835162,-145.672804592489
26.47,-145.640061960226,-145.44241900941
26.48,-145.409501210807,-145.211536920858
26.49,-145.178441953916,-144.98015423612
26.5,-144.94688008803,-144.748266900366
26.51,-144.714811531066,-144.515870888789
26.52,-144.482232250524,-144.282962215924
26.53,-144.249138244324,-144.049536909444
26.54,-144.01552552431,-143.815591038174
26.55,-143.781390147517,-143.581120685141
26.56,-143.546728191845,-143.346121964047
26.57,-143.311535753122,-143.110591006083
26.58,-143.075808955519,-142.874523971077
26.59,-142.839543942827,-142.637917020461
26.6,-142.602736869526,-142.400766340466
26.61,-142.365383918239,-142.163068133287
26.62,-142.127481284452,-141.924818608376
26.63,-141.889025164876,-141.686013988407
26.64,-141.65001177823,-141.446650504315
26.65,-141.410437351267,-141.206724395718
26.66,-141.170298114427,-140.966231905762
26.67,-140.929590307083,-140.72516927918
26.68,-140.688310170793,-140.483532771215
26.69,-140.446453953024,-140.241318628286
26.7,-140.204017896698,-139.998523101015
26.71,-139.960998252707,-139.755142436297
26.72,-139.717391257506,-139.511172878724
26.73,-139.4731931534,-139.266610660833
26.74,-139.2284001741,-139.021452017808
26.75,-138.983008544583,-138.775693165974
26.76,-138.737014486988,-138.529330320834
26.77,-138.490414202054,-138.282359679843
26.78,-138.243203891508,-138.034777428286
26.79,-137.9953797366,-137.786579740763
26.8,-137.746937905151,-137.53776276839
26.81,-137.497874553601,-137.288322655914
26.82,-137.24818581194,-137.038255516906
26.83,-136.9978677979,-136.78755745443
26.84,-136.746916608963,-136.536224547128
