"Freq [GHz]","dB(S(2,1)) []"
26,-93.1103458614555
26.02,-92.661151339991
26.04,-92.209515727279
26.06,-91.7554041939026
26.08,-91.2987811589361
26.1,-90.8396102660772
26.12,-90.3778543593805
26.14,-89.9134754574071
26.16,-89.4464347267652
26.18,-88.9766924545044
26.2,-88.5042080191926
26.22,-88.0289398610708
26.24,-87.5508454506944
26.26,-87.0698812565813
26.28,-86.5860027110836
26.3,-86.0991641751644
26.32,-85.6093189013978
26.34,-85.116418995425
26.36,-84.6204153756854
26.38,-84.1212577313763
26.4,-83.6188944784242
26.42,-83.1132727134541
26.44,-82.6043381656603
26.46,-82.0920351463889
26.48,-81.5763064962916
26.5,-81.0570935299536
26.52,-80.5343359778741
26.54,-80.0079719254892
26.56,-79.477937749254
26.58,-78.9441680494394
26.6,-78.4065955795317
26.62,-77.8651511719587
26.64,-77.3197636599597
26.66,-76.7703597953088
26.68,-76.2168641616266
26.7,-75.6591990829862
26.72,-75.0972845275277
26.74,-74.5310380056326
26.76,-73.960374462461
26.78,-73.3852061642729
26.8,-72.8054425781903
26.82,-72.2209902449123
26.84,-71.6317526438537
26.86,-71.0376300501619
26.88,-70.4385193829718
26.9,-69.8343140442763
26.92,-69.2249037476464
26.94,-68.6101743360177
26.96,-67.9900075877128
26.98,-67.364281009651
27,-66.7328676168374
27.02,-66.0956356968565
27.04,-65.4524485581907
27.06,-64.8031642609545
27.08,-64.147635328511
27.1,-63.4857084382802
27.12,-62.817224089873
27.14,-62.1420162485115
27.16,-61.4599119613948
27.18,-60.7707309445056
27.2,-60.0742851370139
27.22,-59.3703782201143
27.24,-58.6588050967871
27.26,-57.9393513285477
27.28,-57.2117925247749
27.3,-56.475893679677
27.32,-55.7314084513342
27.34,-54.9780783765884
27.36,-54.2156320146937
27.38,-53.4437840118058
27.4,-52.6622340772548
27.42,-51.8706658614155
27.44,-51.068745723535
27.46,-50.2561213763389
27.48,-49.4324203923341
27.5,-48.597248554639
27.52,-47.7501880326831
27.54,-46.8907953602998
27.56,-46.0185991904246
27.58,-45.1330977968712
27.6,-44.2337562892794
27.62,-43.3200035024037
27.64,-42.3912285152503
27.66,-41.4467767492712
27.68,-40.4859455878153
27.7,-39.5079794515466
27.72,-38.5120642567679
27.74,-37.4973211762069
27.76,-36.4627996158404
27.78,-35.4074693186909
27.8,-34.3302115104504
27.82,-33.2298090178001
27.84,-32.1049353277509
27.86,-30.9541426308974
27.88,-29.7758490297642
27.9,-28.5683253402974
27.92,-27.3296823466537
27.94,-26.0578601180111
27.96,-24.750622287836
27.98,-23.4055604247403
28,-22.020117477635
28.02,-20.5916459595755
28.04,-19.1175281387166
28.06,-17.595405611798
28.08,-16.023600105663
28.1,-14.4018648212076
28.12,-12.7326954404277
28.14,-11.0235495722524
28.16,-9.29041320023661
28.18,-7.56297126378523
28.2,-5.89054280474796
28.22,-4.34493751800411
28.24,-3.01205262581659
28.26,-1.96528356134181
28.28,-1.23081421205777
28.3,-0.774097820818943
28.32,-0.521657935444277
28.34,-0.396116357277942
28.36,-0.338049175496515
28.38,-0.310443244360056
28.4,-0.29421478516372
28.42,-0.281961481525978
28.44,-0.272830604351419
28.46,-0.268972839639756
28.48,-0.273296922412983
28.5,-0.288166707595992
28.52,-0.314767128472626
28.54,-0.352939038742101
28.56,-0.401322530650546
28.58,-0.457671880256521
28.6,-0.519229978181562
28.62,-0.58308131659367
28.64,-0.646436338236712
28.66,-0.706829498719672
28.68,-0.762234263823413
28.7,-0.811109656545235
28.72,-0.852396742821018
28.74,-0.885482418318913
28.76,-0.910144566449649
28.78,-0.926488836782266
28.8,-0.934883881728208
28.82,-0.935899246718847
28.84,-0.930248257270537
28.86,-0.918737053021818
28.88,-0.902220208099983
28.9,-0.881562985147357
28.92,-0.857610066903655
28.94,-0.831160502048715
28.96,-0.802948532568708
28.98,-0.773629906956249
29,-0.743773215931799
29.02,-0.713855717234444
29.04,-0.684263052775421
29.06,-0.655292216579823
29.08,-0.627157115142415
29.1,-0.599996078409906
29.12,-0.573880729455925
29.14,-0.548825698697024
29.16,-0.524798764860737
29.18,-0.501731108259439
29.2,-0.479527460256202
29.22,-0.458076015388601
29.24,-0.437258031113754
29.26,-0.416957069284081
29.28,-0.397067831218857
29.3,-0.377504505619469
29.32,-0.358208489317792
29.34,-0.339155261046134
29.36,-0.320360096318507
29.38,-0.301882217477163
29.4,-0.283826889619808
29.42,-0.266344915592675
29.44,-0.249628969158586
29.46,-0.23390625457775
29.48,-0.219427113780182
29.5,-0.206449438195276
29.52,-0.195219095352243
29.54,-0.185947055786572
29.56,-0.178784496107601
29.58,-0.173797837575003
29.6,-0.170946422784158
29.62,-0.170066299301939
29.64,-0.170864342537663
29.66,-0.172927714046234
29.68,-0.1757544643539
29.7,-0.178812049880065
29.72,-0.181631769841909
29.74,-0.183948732484304
29.76,-0.18589883913213
29.78,-0.188285875888053
29.8,-0.192931619095082
29.82,-0.20311665612217
29.84,-0.224103460119265
29.86,-0.263696990926852
29.88,-0.332731428069299
29.9,-0.445272133966371
29.92,-0.618215912320601
29.94,-0.869942913158735
29.96,-1.21785745353419
29.98,-1.67514309824783
30,-2.24769022936564
30.02,-2.93244938824238
30.04,-3.71798831994561
30.06,-4.58698215145503
30.08,-5.51952392952799
30.1,-6.49606943882077
30.12,-7.49936238961777
30.14,-8.51529058207957
30.16,-9.53296176647114
30.18,-10.5443486071165
30.2,-11.5437699760631
30.22,-12.5273662280741
30.24,-13.4926413678508
30.26,-14.4380939960579
30.28,-15.3629336036225
30.3,-16.2668689383812
30.32,-17.1499532285925
30.34,-18.012472510856
30.36,-18.8548658478376
30.38,-19.6776687798406
30.4,-20.4814735400315
30.42,-21.2669012899384
30.44,-22.0345829386239
30.46,-22.7851460731662
30.48,-23.5192062288518
30.5,-24.237361232229
30.52,-24.9401877119005
30.54,-25.6282391305453
30.56,-26.3020448764155
30.58,-26.9621100845792
30.6,-27.6089159526364
30.62,-28.2429203832749
30.64,-28.8645588345627
30.66,-29.4742452937174
30.68,-30.0723733151335
30.7,-30.6593170814621
30.72,-31.2354324594784
30.74,-31.8010580317657
30.76,-32.3565160918948
30.78,-32.9021135955299
30.8,-33.4381430632415
30.82,-33.9648834331851
30.84,-34.4826008634236
30.86,-34.991549484796
30.88,-35.4919721059631
30.9,-35.9841008727239
30.92,-36.4681578839651
30.94,-36.9443557667405
30.96,-37.4128982130057
30.98,-37.8739804805108
31,-38.327789860273
31.02,-38.7745061129524
31.04,-39.2143018763309
31.06,-39.6473430459696
31.08,-40.0737891309841
31.1,-40.493793586748
31.12,-40.9075041262109
31.14,-41.3150630113824
31.16,-41.7166073264384
31.18,-42.112269233771
31.2,-42.5021762142246
31.22,-42.8864512926491
31.24,-43.2652132498199
31.26,-43.6385768216926
31.28,-44.0066528868826
31.3,-44.3695486431904
31.32,-44.7273677739324
31.34,-45.0802106047748
31.36,-45.4281742517173
31.38,-45.7713527608185
31.4,-46.1098372402189
31.42,-46.4437159849646
31.44,-46.7730745951049
31.46,-47.0979960874955
31.48,-47.4185610017181
31.5,-47.7348475004761
31.52,-48.0469314648258
31.54,-48.3548865845548
31.56,-48.6587844440105
31.58,-48.9586946036519
31.6,-49.2546846775835
31.62,-49.546820407313
31.64,-49.8351657319488
31.66,-50.1197828550521
31.68,-50.4007323083314
31.7,-50.6780730123637
31.72,-50.9518623345076
31.74,-51.2221561441671
31.76,-51.4890088655524
31.78,-51.7524735280756
31.8,-52.01260181451
31.82,-52.2694441070327
31.84,-52.5230495312627
31.86,-52.773465998402
31.88,-53.0207402455778
31.9,-53.2649178744792
31.92,-53.5060433883766
31.94,-53.7441602276028
31.96,-53.9793108035782
31.98,-54.2115365314508
32,-54.4408778614139
32.02,-54.6673743087771
32.04,-54.8910644828428
32.06,-55.111986114645
32.08,-55.3301760836156
32.1,-55.54567044321
32.12,-55.7585044455625
32.14,-55.9687125651983
32.16,-56.1763285218551
32.18,-56.3813853024581
32.2,-56.583915182268
32.22,-56.7839497452702
32.24,-56.981519903808
32.26,-57.1766559175085
32.28,-57.3693874115401
32.3,-57.5597433942078
32.32,-57.7477522739346
32.34,-57.9334418756475
32.36,-58.1168394565924
32.38,-58.2979717216093
32.4,-58.476864837878
32.42,-58.6535444491657
32.44,-58.8280356895981
32.46,-59.0003631969592
32.48,-59.1705511255679
32.5,-59.338623158706
32.52,-59.5046025206626
32.54,-59.6685119883671
32.56,-59.8303739026631
32.58,-59.9902101792091
32.6,-60.1480423190397
32.62,-60.3038914187872
32.64,-60.4577781805877
32.66,-60.6097229216732
32.68,-60.7597455836709
32.7,-60.9078657416118
32.72,-61.0541026126684
32.74,-61.1984750646267
32.76,-61.3410016240937
32.78,-61.4817004844756
32.8,-61.6205895137001
32.82,-61.7576862617245
32.84,-61.8930079678136
32.86,-62.0265715676097
32.88,-62.1583936999958
32.9,-62.2884907137574
32.92,-62.4168786740608
32.94,-62.5435733687403
32.96,-62.668590314403
32.98,-62.791944762376
33,-62.9136517044709
33.02,-63.0337258786014
33.04,-63.1521817742276
33.06,-63.2690336376716
33.08,-63.3842954772717
33.1,-63.4979810684015
33.12,-63.6101039583561
33.14,-63.7206774711005
33.16,-63.8297147118883
33.18,-63.9372285717789
33.2,-64.0432317319988
33.22,-64.1477366682205
33.24,-64.250755654714
33.26,-64.3523007683874
33.28,-64.4523838927347
33.3,-64.5510167216694
33.32,-64.6482107632652
33.34,-64.743977343401
33.36,-64.8383276093133
33.38,-64.9312725330571
33.4,-65.0228229148806
33.42,-65.1129893865178
33.44,-65.2017824143878
33.46,-65.2892123027336
33.48,-65.3752891966666
33.5,-65.460023085147
33.52,-65.5434238038779
33.54,-65.6255010381503
33.56,-65.7062643255972
33.58,-65.7857230588934
33.6,-65.8638864883845
33.62,-65.9407637246685
33.64,-66.0163637410814
33.66,-66.0906953761675
33.68,-66.1637673360577
33.7,-66.2355881968061
33.72,-66.3061664066747
33.74,-66.3755102883527
33.76,-66.4436280411352
33.78,-66.51052774305
33.8,-66.5762173529298
33.82,-66.6407047124446
33.84,-66.7039975480788
33.86,-66.7661034730744
33.88,-66.8270299893201
33.9,-66.8867844892041
33.92,-66.9453742574248
33.94,-67.002806472756
33.96,-67.0590882097829
33.98,-67.1142264405869
34,-67.1682280364082
34.02,-67.2210997692548
34.04,-67.272848313495
34.06,-67.3234802473996
34.08,-67.3730020546617
34.1,-67.4214201258784
34.12,-67.468740759999
34.14,-67.5149701657515
34.16,-67.56011446303
34.18,-67.6041796842572
34.2,-67.6471717757148
34.22,-67.689096598855
34.24,-67.7299599315712
34.26,-67.7697674694614
34.28,-67.8085248270438
34.3,-67.8462375389665
34.32,-67.8829110611848
34.34,-67.918550772114
34.36,-67.9531619737638
34.38,-67.9867498928498
34.4,-68.0193196818767
34.42,-68.0508764202124
34.44,-68.0814251151347
34.46,-68.1109707028566
34.48,-68.1395180495372
34.5,-68.1670719522727
34.52,-68.1936371400675
34.54,-68.219218274793
34.56,-68.2438199521246
34.58,-68.2674467024624
34.6,-68.2901029918409
34.62,-68.3117932228187
34.64,-68.3325217353587
34.66,-68.3522928076883
