m	n	S12
0	0	0.899242
1	0	0.254403
2	0	0.079725
3	0	0.014128
4	0	0.018230
5	0	0.020712
6	0	0.010011
7	0	0.002943
8	0	0.008756
9	0	0.007163
10	0	0.001453
11	0	0.003837
12	0	0.004992
13	0	0.002456
14	0	0.001291
15	0	0.003290
16	0	0.002596
17	0	0.000274
18	0	0.001947
19	0	0.002308
20	0	0.000952
21	0	0.000910
22	0	0.001822
23	0	0.001281
24	0	0.000163
25	0	0.001267
26	0	0.001326
27	0	0.000402
28	0	0.000724
29	0	0.001179
30	0	0.000710
31	0	0.000248
32	0	0.000919
33	0	0.000841
34	0	0.000145
35	0	0.000604
36	0	0.000826
37	0	0.000407
38	0	0.000287
39	0	0.000705
40	0	0.000559
41	0	0.000028
42	0	0.000517
43	0	0.000604
44	0	0.000226
45	0	0.000299
46	0	0.000559
47	0	0.000377
48	0	0.000083
49	0	0.000448
50	0	0.000451
51	0	0.000110
52	0	0.000297
53	0	0.000451
54	0	0.000252
55	0	0.000131
56	0	0.000392
57	0	0.000339
58	0	0.000031
59	0	0.000288
60	0	0.000368
61	0	0.000161
62	0	0.000160
63	0	0.000343
64	0	0.000254
65	0	0.000029
66	0	0.000276
67	0	0.000301
68	0	0.000093
69	0	0.000179
70	0	0.000302
71	0	0.000187
72	0	0.000069
73	0	0.000262
74	0	0.000246
75	0	0.000040
76	0	0.000191
77	0	0.000266
78	0	0.000132
79	0	0.000101
80	0	0.000249
81	0	0.000200
82	0	0.000006
83	0	0.000200
84	0	0.000236
85	0	0.000087
86	0	0.000128
87	0	0.000240
88	0	0.000163
89	0	0.000042
90	0	0.000212
91	0	0.000216
92	0	0.000049
93	0	0.000159
94	0	0.000245
95	0	0.000138
96	0	0.000089
97	0	0.000266
98	0	0.000251
99	0	0.000127
0	1	0.124921
1	1	0.777930
2	1	0.696365
3	1	0.005613
4	1	0.076907
5	1	0.063373
6	1	0.022150
7	1	0.012465
8	1	0.025075
9	1	0.017222
10	1	0.000851
11	1	0.011174
12	1	0.012387
13	1	0.004883
14	1	0.004204
15	1	0.008370
16	1	0.005821
17	1	0.000340
18	1	0.005124
19	1	0.005421
20	1	0.001779
21	1	0.002573
22	1	0.004408
23	1	0.002775
24	1	0.000659
25	1	0.003158
26	1	0.003021
27	1	0.000676
28	1	0.001893
29	1	0.002770
30	1	0.001496
31	1	0.000756
32	1	0.002214
33	1	0.001875
34	1	0.000168
35	1	0.001507
36	1	0.001900
37	1	0.000831
38	1	0.000772
39	1	0.001660
40	1	0.001224
41	1	0.000102
42	1	0.001249
43	1	0.001366
44	1	0.000439
45	1	0.000755
46	1	0.001293
47	1	0.000812
48	1	0.000254
49	1	0.001059
50	1	0.001006
51	1	0.000190
52	1	0.000723
53	1	0.001029
54	1	0.000532
55	1	0.000344
56	1	0.000909
57	1	0.000748
58	1	0.000022
59	1	0.000684
60	1	0.000829
61	1	0.000331
62	1	0.000398
63	1	0.000787
64	1	0.000553
65	1	0.000096
66	1	0.000643
67	1	0.000671
68	1	0.000182
69	1	0.000429
70	1	0.000684
71	1	0.000402
72	1	0.000180
73	1	0.000602
74	1	0.000544
75	1	0.000066
76	1	0.000447
77	1	0.000597
78	1	0.000281
79	1	0.000245
