"Freq [GHz]","dB(S(2,1)) []"
26,-127.565166879151
26.01,-127.383132123289
26.02,-127.200759152653
26.03,-127.018046211412
26.04,-126.834991540953
26.05,-126.6515933668
26.06,-126.467849900389
26.07,-126.28375934321
26.08,-126.099319879731
26.09,-125.914529685922
26.1,-125.729386918543
26.11,-125.543889726909
26.12,-125.35803624232
26.13,-125.171824583761
26.14,-124.985252857394
26.15,-124.798319154373
26.16,-124.611021548861
26.17,-124.423358104433
26.18,-124.235326869007
26.19,-124.046925876036
26.2,-123.858153139919
26.21,-123.669006665638
26.22,-123.479484437623
26.23,-123.289584431662
26.24,-123.099304601734
26.25,-122.908642886335
26.26,-122.717597211261
26.27,-122.52616548354
26.28,-122.334345593635
26.29,-122.142135417088
26.3,-121.949532811425
26.31,-121.756535618087
26.32,-121.563141657903
26.33,-121.369348738885
26.34,-121.175154649031
26.35,-120.980557157879
26.36,-120.785554017611
26.37,-120.590142964525
26.38,-120.394321710571
26.39,-120.198087954985
26.4,-120.001439374609
26.41,-119.80437362785
26.42,-119.606888354299
26.43,-119.408981171765
26.44,-119.210649682437
26.45,-119.011891461804
26.46,-118.812704071091
26.47,-118.61308504926
26.48,-118.413031911126
26.49,-118.212542153549
26.5,-118.011613251572
26.51,-117.810242658575
26.52,-117.608427804084
26.53,-117.406166096007
26.54,-117.203454923122
26.55,-117.000291646508
26.56,-116.796673607283
26.57,-116.592598121219
26.58,-116.388062482342
26.59,-116.183063958793
26.6,-115.977599795736
26.61,-115.771667211999
26.62,-115.565263405599
26.63,-115.358385542733
26.64,-115.151030769985
26.65,-114.943196204161
26.66,-114.734878939874
26.67,-114.526076039556
26.68,-114.316784543006
26.69,-114.107001461442
26.7,-113.896723778016
26.71,-113.685948448849
26.72,-113.474672400564
26.73,-113.262892531566
26.74,-113.050605711043
26.75,-112.837808778528
26.76,-112.624498543166
26.77,-112.410671785417
26.78,-112.196325252547
26.79,-111.98145566259
26.8,-111.766059701785
26.81,-111.550134022158
26.82,-111.333675246676
26.83,-111.116679962681
26.84,-110.899144725886
26.85,-110.681066056764
26.86,-110.462440441351
26.87,-110.243264333202
26.88,-110.023534148384
26.89,-109.803246267933
26.9,-109.582397036139
26.91,-109.360982761756
26.92,-109.138999714384
26.93,-108.916444127737
26.94,-108.693312196061
26.95,-108.469600074232
26.96,-108.245303878886
26.97,-108.020419685545
26.98,-107.79494352954
26.99,-107.568871405394
27,-107.342199265449
27.01,-107.114923018864
27.02,-106.887038532655
27.03,-106.658541630106
27.04,-106.429428090087
27.05,-106.199693645658
27.06,-105.969333985161
27.07,-105.738344750595
27.08,-105.506721535839
27.09,-105.274459888358
27.1,-105.041555305766
27.11,-104.808003237705
27.12,-104.573799082861
27.13,-104.338938189516
27.14,-104.103415854857
27.15,-103.867227322891
27.16,-103.630367784813
27.17,-103.392832378196
27.18,-103.154616184928
27.19,-102.915714231827
27.2,-102.676121489532
27.21,-102.435832869904
27.22,-102.194843227742
27.23,-101.953147357632
27.24,-101.710739994227
27.25,-101.467615810877
27.26,-101.223769418544
27.27,-100.979195365082
27.28,-100.733888133989
27.29,-100.487842143534
27.3,-100.2410517451
27.31,-99.9935112226929
27.32,-99.7452147922261
27.33,-99.4961565990251
27.34,-99.2463307177343
27.35,-98.9957311506401
27.36,-98.7443518268595
27.37,-98.4921866006
27.38,-98.2392292502513
27.39,-97.9854734768894
27.4,-97.7309129029794
27.41,-97.475541070983
27.42,-97.2193514422407
27.43,-96.9623373947589
27.44,-96.7044922228302
27.45,-96.4458091349249
27.46,-96.1862812521065
27.47,-95.9259016063355
27.48,-95.6646631398342
27.49,-95.4025587022677
27.5,-95.139581049741
27.51,-94.8757228428305
27.52,-94.6109766449854
27.53,-94.3453349206625
27.54,-94.0787900334707
27.55,-93.8113342445167
27.56,-93.5429597100346
27.57,-93.2736584799296
27.58,-93.0034224953681
27.59,-92.7322435868552
27.6,-92.4601134721377
27.61,-92.1870237542033
27.62,-91.9129659186638
27.63,-91.6379313318666
27.64,-91.3619112382264
27.65,-91.0848967582132
27.66,-90.806878885652
27.67,-90.5278484851301
27.68,-90.2477962897304
27.69,-89.9667128981587
27.7,-89.6845887719191
27.71,-89.4014142330431
27.72,-89.1171794606388
27.73,-88.8318744883067
27.74,-88.5454892010216
27.75,-88.2580133321764
27.76,-87.9694364602866
27.77,-87.6797480056155
27.78,-87.3889372272662
27.79,-87.0969932192018
27.8,-86.8039049072706
27.81,-86.5096610450566
27.82,-86.2142502106739
27.83,-85.9176608024527
27.84,-85.6198810353657
27.85,-85.3208989368135
27.86,-85.0207023425226
27.87,-84.7192788922611
27.88,-84.4166160254951
27.89,-84.1127009767183
27.9,-83.8075207708574
27.91,-83.5010622186243
27.92,-83.1933119113029
27.93,-82.88425621592
27.94,-82.5738812699024
27.95,-82.2621729756064
27.96,-81.9491169949239
27.97,-81.6346987434376
27.98,-81.3189033845478
27.99,-81.0017158233931
28,-80.6831207005797
28.01,-80.3631023857447
28.02,-80.0416449707428
28.03,-79.7187322629482
28.04,-79.3943477779773
28.05,-79.0684747324777
28.06,-78.741096036456
28.07,-78.4121942854912
28.08,-78.081751752655
28.09,-77.7497503801196
28.1,-77.4161717705816
28.11,-77.0809971782965
28.12,-76.7442074998223
28.13,-76.4057832645326
28.14,-76.0657046247202
28.15,-75.7239513453468
28.16,-75.3805027934657
28.17,-75.0353379273345
28.18,-74.6884352849726
28.19,-74.3397729724865
28.2,-73.9893286518516
28.21,-73.6370795282762
28.22,-73.2830023371459
28.23,-72.9270733304402
28.24,-72.569268262638
28.25,-72.2095623760736
28.26,-71.847930385821
28.27,-71.4843464638745
28.28,-71.1187842228207
28.29,-70.751216698839
28.3,-70.3816163339451
28.31,-70.0099549576807
28.32,-69.6362037679605
28.33,-69.2603333111774
28.34,-68.8823134614637
28.35,-68.5021133991425
28.36,-68.1197015882472
28.37,-67.7350457531162
28.38,-67.3481128539488
28.39,-66.9588690613799
28.4,-66.5672797298859
28.41,-66.1733093700853
28.42,-65.7769216197642
28.43,-65.3780792136269
28.44,-64.9767439517199
28.45,-64.5728766663537
28.46,-64.1664371875348
28.47,-63.7573843068063
28.48,-63.3456757393543
28.49,-62.9312680843239
28.5,-62.5141167832684
28.51,-62.0941760765084
28.52,-61.671398957422
28.53,-61.2457371244175
28.54,-60.8171409305289
28.55,-60.38555933043
28.56,-59.950939824733
28.57,-59.5132284014209
28.58,-59.072369474164
28.59,-58.6283058173804
28.6,-58.1809784978096
28.61,-57.7303268023364
28.62,-57.2762881618568
28.63,-56.8187980708977
28.64,-56.3577900026849
28.65,-55.8931953193499
28.66,-55.424943176948
28.67,-54.9529604248947
28.68,-54.4771714994202
28.69,-53.9974983106123
28.7,-53.5138601225489
28.71,-53.0261734260441
28.72,-52.5343518033663
28.73,-52.0383057844075
28.74,-51.5379426935307
28.75,-51.0331664864387
28.76,-50.5238775762077
28.77,-50.0099726476282
28.78,-49.4913444588641
28.79,-48.9678816293878
28.8,-48.4394684130163
28.81,-47.9059844547506
28.82,-47.3673045300318
28.83,-46.8232982648195
28.84,-46.2738298348122
28.85,-45.7187576418689
28.86,-45.1579339655706
28.87,-44.5912045875639
28.88,-44.0184083861347
28.89,-43.4393768981521
28.9,-42.8539338452074
28.91,-42.2618946204567
28.92,-41.6630657322364
28.93,-41.0572442001515
28.94,-40.4442168987986
28.95,-39.823759843795
28.96,-39.1956374141778
28.97,-38.5596015046102
28.98,-37.9153906001181
28.99,-37.2627287653367
29,-36.6013245394504
29.01,-35.9308697271708
29.02,-35.2510380752767
29.03,-34.5614838234325
29.04,-33.861840117333
29.05,-33.1517172717228
29.06,-32.4307008707531
29.07,-31.6983496936174
29.08,-30.9541934548697
29.09,-30.1977303517456
29.1,-29.4284244159859
29.11,-28.6457026762242
29.12,-27.8489521506531
29.13,-27.037516710931
29.14,-26.2106938909037
29.15,-25.367731763291
29.16,-24.5078260824141
29.17,-23.6301180040245
29.18,-22.733692863406
29.19,-21.8175807491625
29.2,-20.8807599965061
29.21,-19.9221653072332
29.22,-18.9407030853582
29.23,-17.935277910282
29.24,-16.9048360803714
29.25,-15.8484351776568
29.26,-14.7653530822064
29.27,-13.6552563676195
29.28,-12.5184570822075
29.29,-11.3562986330003
29.3,-10.171724199164
29.31,-8.97008855900079
29.32,-7.76025973898477
29.33,-6.55598425890739
29.34,-5.37729702039099
29.35,-4.25138031938712
29.36,-3.21176548434959
29.37,-2.29452633339934
29.38,-1.53098218926092
29.39,-0.938891572204198
29.4,-0.516607980368761
29.41,-0.243961809088483
29.42,-0.0892715087648677
29.43,-0.0181423133294107
29.44,-1.39516245689729E-06
29.45,-0.011083507571733
29.46,-0.0347043141442992
29.47,-0.0601774726379127
29.48,-0.0813598411043127
29.49,-0.0953121085476344
29.5,-0.101233170268767
29.51,-0.0996701157099473
29.52,-0.0919526049322859
29.53,-0.0797944789779857
29.54,-0.0650158609215548
29.55,-0.0493521254016278
29.56,-0.0343270597734003
29.57,-0.0211752079326377
29.58,-0.0108031003569391
29.59,-0.00378158807727327
29.6,-0.000362619112940398
29.61,-0.000514220603727704
29.62,-0.00396769890402658
29.63,-0.0102714623545624
29.64,-0.0188465368219529
29.65,-0.0290397643289995
29.66,-0.0401717436037281
29.67,-0.0515776521470505
29.68,-0.0626400622869641
29.69,-0.0728136492702865
29.7,-0.0816422550008309
29.71,-0.0887691231473814
29.72,-0.0939412925130106
29.73,-0.0970091704135606
29.74,-0.0979222522490426
29.75,-0.096721847737352
29.76,-0.0935315498061297
29.77,-0.0885460607939798
29.78,-0.0820188856833991
29.79,-0.074249319860654
29.8,-0.0655691003712399
29.81,-0.0563290520878685
29.82,-0.046886038521175
29.83,-0.0375905147685331
29.84,-0.0287749705585818
29.85,-0.0207435381969892
29.86,-0.0137630183033637
29.87,-0.0080555421250516
29.88,-0.00379304158195062
29.89,-0.00109363793942036
29.9,-1.99900852481999E-05
29.91,-0.000579568409304162
29.92,-0.00272674582085433
29.93,-0.00636652924836545
29.94,-0.011359698193366
29.95,-0.0175290754359845
29.96,-0.0246666309979514
29.97,-0.0325411143038265
29.98,-0.0409059197753976
29.99,-0.0495069151172875
30,-0.0580899957023269
30.01,-0.0664081687864815
30.02,-0.074228013944173
30.03,-0.0813354077862557
30.04,-0.087540439107169
30.05,-0.0926814733589541
30.06,-0.096628351840872
30.07,-0.0992847310569211
30.08,-0.100589581745241
30.09,-0.100517875992692
30.1,-0.0990804957595088
30.11,-0.0963233983425658
30.12,-0.0923260751180076
30.13,-0.0871993405626715
30.14,-0.0810824901550345
30.15,-0.0741398691796564
30.16,-0.0665569003201573
30.17,-0.058535626535757
30.18,-0.0502898370398251
30.19,-0.0420398578446547
30.2,-0.0340071035471353
30.21,-0.0264085027195549
30.22,-0.0194509240771453
30.23,-0.0133257429905074
30.24,-0.00820369632768372
30.25,-0.00423017660797441
30.26,-0.00152111288375766
30.27,-0.000159574958078475
30.28,-0.000193219401821691
30.29,-0.0016326709185403
30.3,-0.0044509021300992
30.31,-0.00858364058666398
30.32,-0.0139307959019925
30.33,-0.0203588646982481
30.34,-0.0277042387630047
30.35,-0.0357773143998664
30.36,-0.0443672798146213
30.37,-0.053247443302964
30.38,-0.0621809581019741
30.39,-0.070926799497605
30.4,-0.0792458550729907
30.41,-0.0869069983721961
30.42,-0.0936930280677732
30.43,-0.0994063672331277
30.44,-0.103874428923436
30.45,-0.106954563585106
30.46,-0.108538509797465
30.47,-0.108556271855111
30.48,-0.106979345518114
30.49,-0.103823207164381
30.5,-0.0991489723476541
30.51,-0.0930641186995103
30.52,-0.0857221570537681
30.53,-0.0773211259880206
30.54,-0.0681007815247981
30.55,-0.0583383587321745
30.56,-0.0483427987889305
30.57,-0.0384473669388728
30.58,-0.0290006362362182
30.59,-0.0203558804786589
30.6,-0.0128590068427927
30.61,-0.00683526173490002
30.62,-0.00257505680011259
30.63,-0.000319377759501691
30.64,-0.000245346485866335
30.65,-0.00245259521525935
30.66,-0.00695117049901399
30.67,-0.0136517057710173
30.68,-0.0223585825912314
30.69,-0.0327667458340222
30.7,-0.0444627590666821
30.71,-0.0569306022688248
30.72,-0.069562650055189
30.73,-0.0816762535606685
30.74,-0.0925364128795678
30.75,-0.101385197091215
30.76,-0.107478868031564
30.77,-0.110134105914357
30.78,-0.108785318809125
30.79,-0.103055717000379
30.8,-0.0928455728568061
30.81,-0.0784417055008283
30.82,-0.0606524129442361
30.83,-0.0409712562339648
30.84,-0.0217703369414147
30.85,-0.00651757592299874
30.86,-1.15049711739732E-06
30.87,-0.00852594320531344
30.88,-0.0400214870002917
30.89,-0.103972928560207
30.9,-0.211068938672607
30.91,-0.372476454560318
30.92,-0.598727704109859
30.93,-0.898346537688235
30.94,-1.27650575071495
30.95,-1.73409888055431
30.96,-2.26753629674704
30.97,-2.86933742302546
30.98,-3.52931197107591
30.99,-4.23595956827209
31,-4.97773474246222
31.01,-5.74396668791939
31.02,-6.52538544128314
31.03,-7.31431600775636
31.04,-8.10464470367228
31.05,-8.89165758619872
31.06,-9.67182572597741
31.07,-10.4425844141659
31.08,-11.2021313821524
31.09,-11.9492544418208
31.1,-12.6831904208296
31.11,-13.4035129648993
31.12,-14.1100450485793
31.13,-14.8027917082486
31.14,-15.4818888572402
31.15,-16.1475646488578
31.16,-16.8001105038066
31.17,-17.4398595152357
31.18,-18.0671704509156
31.19,-18.6824159831337
31.2,-19.2859741015362
31.21,-19.8782219160421
31.22,-20.4595312501983
31.23,-21.0302655724247
31.24,-21.5907779240522
31.25,-22.141409587246
31.26,-22.6824892994131
31.27,-23.2143328685702
31.28,-23.737243080216
31.29,-24.2515098134951
31.3,-24.7574103049406
31.31,-25.2552095136127
31.32,-25.7451605531521
31.33,-26.2275051651238
31.34,-26.7024742147313
31.35,-27.1702881950264
31.36,-27.6311577295846
31.37,-28.0852840664826
31.38,-28.5328595586031
31.39,-28.9740681269167
31.4,-29.4090857046097
31.41,-29.8380806608397
31.42,-30.2612142035659
31.43,-30.6786407613904
31.44,-31.0905083446975
31.45,-31.4969588866259
31.46,-31.8981285645764
31.47,-32.2941481030654
31.48,-32.6851430588037
31.49,-33.0712340889093
31.5,-33.4525372031709
31.51,-33.8291640012733
31.52,-34.2012218958714
31.53,-34.5688143223679
31.54,-34.9320409362223
31.55,-35.290997798566
31.56,-35.6457775508754
31.57,-35.9964695793946
31.58,-36.3431601699711
31.59,-36.6859326539254
31.6,-37.0248675455296
31.61,-37.3600426716414
31.62,-37.6915332939959
31.63,-38.0194122246359
31.64,-38.3437499349101
31.65,-38.6646146584614
31.66,-38.982072488582
31.67,-39.2961874702917
31.68,-39.6070216874755
31.69,-39.9146353453871
31.7,-40.2190868488051
31.71,-40.520432876114
31.72,-40.8187284495561
31.73,-41.1140270018899
31.74,-41.4063804396699
31.75,-41.6958392033536
31.76,-41.982452324417
31.77,-42.2662674796654
31.78,-42.5473310428949
31.79,-42.825688134062
31.8,-43.1013826661011
31.81,-43.3744573895308
31.82,-43.6449539349692
31.83,-43.9129128536715
31.84,-44.17837365621
31.85,-44.4413748493889
31.86,-44.7019539714966
31.87,-44.9601476259826
31.88,-45.2159915136462
31.89,-45.4695204634079
31.9,-45.7207684617541
31.91,-45.969768680908
31.92,-46.216553505801
31.93,-46.4611545599058
31.94,-46.7036027299894
31.95,-46.9439281898372
31.96,-47.182160423003
31.97,-47.418328244633
31.98,-47.6524598224061
31.99,-47.8845826966413
32,-48.1147237996001
32.01,-48.3429094740381
32.02,-48.5691654910265
32.03,-48.7935170670897
32.04,-49.0159888806804
32.05,-49.2366050880373
32.06,-49.4553893384361
32.07,-49.6723647888774
32.08,-49.8875541182273
32.09,-50.1009795408364
32.1,-50.3126628196699
32.11,-50.5226252789515
32.12,-50.7308878163662
32.13,-50.9374709148183
32.14,-51.1423946537811
32.15,-51.3456787202478
32.16,-51.5473424192989
32.17,-51.7474046843076
32.18,-51.9458840867997
32.19,-52.1427988459696
32.2,-52.3381668378845
32.21,-52.5320056043776
32.22,-52.7243323616453
32.23,-52.9151640085594
32.24,-53.1045171347155
32.25,-53.2924080282098
32.26,-53.4788526831713
32.27,-53.6638668070559
32.28,-53.8474658276997
32.29,-54.0296649001582
32.3,-54.2104789133266
32.31,-54.3899224963594
32.32,-54.5680100248853
32.33,-54.7447556270335
32.34,-54.9201731892832
32.35,-55.0942763621277
32.36,-55.2670785655683
32.37,-55.4385929944542
32.38,-55.6088326236535
32.39,-55.7778102130746
32.4,-55.9455383125469
32.41,-56.1120292665535
32.42,-56.2772952188244
32.43,-56.4413481168101
32.44,-56.6041997160158
32.45,-56.7658615842168
32.46,-56.9263451055594
32.47,-57.0856614845413
32.48,-57.2438217498836
32.49,-57.4008367583008
32.5,-57.5567171981548
32.51,-57.7114735930287
32.52,-57.8651163051783
32.53,-58.01765553892
32.54,-58.1691013439048
32.55,-58.3194636183125
32.56,-58.4687521119672
32.57,-58.6169764293641
32.58,-58.7641460326156
32.59,-58.9102702443321
32.6,-59.0553582504167
32.61,-59.1994191027886
32.62,-59.3424617220492
32.63,-59.4844949000668
32.64,-59.6255273024989
32.65,-59.7655674712636
32.66,-59.9046238269233
32.67,-60.0427046710487
32.68,-60.1798181884736
32.69,-60.3159724495451
32.7,-60.4511754122808
32.71,-60.5854349245011
32.72,-60.7187587258856
32.73,-60.8511544500005
32.74,-60.9826296262622
32.75,-61.1131916818708
32.76,-61.2428479436781
32.77,-61.3716056400309
32.78,-61.4994719025566
32.79,-61.6264537679082
32.8,-61.7525581794942
32.81,-61.8777919891217
32.82,-62.002161958647
32.83,-62.1256747615621
32.84,-62.2483369845583
32.85,-62.3701551290404
32.86,-62.491135612627
32.87,-62.6112847705965
32.88,-62.7306088573227
32.89,-62.849114047653
32.9,-62.9668064382783
32.91,-63.0836920490636
32.92,-63.1997768243484
32.93,-63.3150666342265
32.94,-63.4295672757861
32.95,-63.5432844743294
32.96,-63.6562238845806
32.97,-63.7683910918357
32.98,-63.8797916131205
32.99,-63.9904308983
33,-64.1003143311914
33.01,-64.2094472306129
33.02,-64.317834851456
33.03,-64.4254823857098
33.04,-64.5323949634627
33.05,-64.6385776538989
33.06,-64.7440354662585
33.07,-64.8487733507969
33.08,-64.9527961996896
33.09,-65.0561088479764
33.1,-65.1587160744243
33.11,-65.2606226024173
33.12,-65.3618331008051
33.13,-65.462352184749
33.14,-65.562184416538
33.15,-65.661334306409
33.16,-65.7598063133246
33.17,-65.8576048457539
33.18,-65.9547342624334
33.19,-66.0511988731147
33.2,-66.1470029392979
33.21,-66.2421506749433
33.22,-66.3366462471891
33.23,-66.4304937770193
33.24,-66.5236973399718
33.25,-66.6162609667738
33.26,-66.7081886440208
33.27,-66.7994843147969
33.28,-66.8901518793183
33.29,-66.9801951955417
33.3,-67.069618079773
33.31,-67.1584243072603
33.32,-67.2466176127845
33.33,-67.3342016912247
33.34,-67.4211801981276
33.35,-67.5075567502498
33.36,-67.5933349261178
33.37,-67.6785182665385
33.38,-67.7631102751495
33.39,-67.8471144189154
33.4,-67.9305341286338
33.41,-68.0133727994337
33.42,-68.0956337912687
33.43,-68.1773204293979
33.44,-68.2584360048362
33.45,-68.3389837748505
33.46,-68.4189669633798
33.47,-68.4983887615049
33.48,-68.5772523278794
33.49,-68.6555607891686
33.5,-68.7333172404579
33.51,-68.8105247456884
33.52,-68.8871863380507
33.53,-68.9633050204073
33.54,-69.0388837656692
33.55,-69.1139255171928
33.56,-69.1884331891743
33.57,-69.2624096670144
33.58,-69.3358578076843
33.59,-69.4087804401066
33.6,-69.4811803655012
33.61,-69.5530603577439
33.62,-69.6244231637161
33.63,-69.6952715036367
33.64,-69.7656080714028
33.65,-69.8354355349308
33.66,-69.904756536466
33.67,-69.9735736928934
33.68,-70.0418895960971
33.69,-70.1097068132294
33.7,-70.1770278870139
33.71,-70.2438553360779
33.72,-70.3101916552246
33.73,-70.3760393157213
33.74,-70.4414007656034
33.75,-70.5062784299441
33.76,-70.5706747111289
33.77,-70.6345919891403
33.78,-70.6980326218193
33.79,-70.7609989451355
33.8,-70.8234932734332
33.81,-70.8855178997141
33.82,-70.9470750958708
33.83,-71.0081671129423
33.84,-71.0687961813491
33.85,-71.1289645111576
33.86,-71.1886742923026
33.87,-71.2479276948208
33.88,-71.306726869086
33.89,-71.3650739460393
33.9,-71.4229710374112
33.91,-71.4804202359381
33.92,-71.5374236155984
33.93,-71.5939832317918
33.94,-71.6501011215942
33.95,-71.7057793039265
33.96,-71.7610197797864
33.97,-71.8158245324525
33.98,-71.8701955276592
33.99,-71.9241347138176
34,-71.977644022194
34.01,
34.02,
34,
