"Freq [GHz]","dB(S(1:1,1:1)) []"
0.1,-4.47412882192135
0.11,-4.16672489571916
0.12,-3.77283543086866
0.13,-3.24198106003934
0.14,-2.44184781984132
0.15,-0.00498468172947149
0.16,-0.425062742711677
0.17,-0.845417577078815
0.18,-1.26567151686869
0.19,-1.68569122831718
0.2,-2.1055731960214
0.21,-2.52555908175315
0.22,-2.94609298686325
0.23,-3.36774839972139
0.24,-3.79122418466595
0.25,-4.21735520334728
0.26,-4.64712021656497
0.27,-5.08165356373347
0.28,-5.52226619899884
0.29,-5.97047829832205
0.3,-6.42806538508423
0.31,-6.89712199706386
0.32,-7.38015014177236
0.33,-7.88018373601005
0.34,-8.40136652197386
0.35,-8.94740691319954
0.36,-9.52500903939745
0.37,-10.1424986649849
0.38,-10.8107217705114
0.39,-11.5452096385631
0.4,-12.3701147227259
0.41,-13.3250907748585
0.42,-14.4803746253234
0.43,-15.9866712864218
0.44,-18.2892388834475
0.45,-27.1350737583953
0.46,-21.8110047665183
0.47,-19.7647675312382
0.48,-18.5262603946051
0.49,-17.6566827901298
0.5,-16.9969276362896
0.51,-16.4716846161174
0.52,-16.0393735903444
0.53,-15.6746379211544
0.54,-15.3609248490791
0.55,-15.0868477323967
0.56,-14.8442301658693
0.57,-14.6270056652901
0.58,-14.4305497561707
0.59,-14.2512375909558
0.6,-14.0861661623821
0.61,-13.9329566165859
0.62,-13.7896138596558
0.63,-13.654421737396
0.64,-13.5258603600226
0.65,-13.4025358336794
0.66,-13.2831140889205
0.67,-13.1662496671601
0.68,-13.0504961781817
0.69,-12.9341747729487
0.7,-12.8151536083375
0.71,-12.6904368148503
0.72,-12.5552942760972
0.73,-12.4007704285802
0.74,-12.2029519832554
0.75,-11.8209923172241
0.76,-12.0797048213948
0.77,-12.2426522510761
0.78,-12.3890685296352
0.79,-12.5298863943529
0.8,-12.6691078537857
0.81,-12.8086448266519
0.82,-12.9495228103009
0.83,-13.0923444416048
0.84,-13.2374787575673
0.85,-13.3851538296296
0.86,-13.5355072580673
0.87,-13.6886151907818
0.88,-13.8445092978824
0.89,-14.0031865525365
0.9,-14.1646145152627
0.91,-14.3287337389664
0.92,-14.4954581877894
0.93,-14.6646739461207
0.94,-14.8362363991254
0.95,-15.0099660046943
0.96,-15.1856424319003
0.97,-15.3629966830668
0.98,-15.5417009737226
0.99,-15.7213571290611
1,-15.9014883566346
