"Freq [GHz]","dB(S(1,2)) []"
24,-159.208354601927
24.01,-159.069423962132
24.02,-158.93037291172
24.03,-158.791200573984
24.04,-158.651906073935
24.05,-158.512488589309
24.06,-158.372947263973
24.07,-158.233281218592
24.08,-158.093489614423
24.09,-157.953571626188
24.1,-157.81352636676
24.11,-157.673353012879
24.12,-157.533050726729
24.13,-157.392618643552
24.14,-157.252055929547
24.15,-157.111361767818
24.16,-156.970535298649
24.17,-156.829575664317
24.18,-156.688482045498
24.19,-156.547253614234
24.2,-156.405889518409
24.21,-156.264388934728
24.22,-156.122751008556
24.23,-155.980974931052
24.24,-155.839059848802
24.25,-155.69700492783
24.26,-155.554809362629
24.27,-155.412472274778
24.28,-155.269992859639
24.29,-155.127370279836
24.3,-154.984603706756
24.31,-154.841692292802
24.32,-154.698635199445
24.33,-154.555431625172
24.34,-154.41208071323
24.35,-154.268581632003
24.36,-154.124933546311
24.37,-153.981135628067
24.38,-153.837187030271
24.39,-153.693086920869
24.4,-153.548834477287
24.41,-153.404428838934
24.42,-153.259869181258
24.43,-153.115154682461
24.44,-152.970284463561
24.45,-152.82525770849
24.46,-152.68007357081
24.47,-152.53473121216
24.48,-152.389229783238
24.49,-152.243568441365
24.5,-152.097746339052
24.51,-151.951762624092
24.52,-151.805616466526
24.53,-151.659306999123
24.54,-151.512833371323
24.55,-151.366194730596
24.56,-151.219390223971
24.57,-151.072419004163
24.58,-150.925280204984
24.59,-150.777972963075
24.6,-150.630496415478
24.61,-150.48284972009
24.62,-150.335031986582
24.63,-150.187042360454
24.64,-150.038879978169
24.65,-149.890543950922
24.66,-149.742033419466
24.67,-149.593347503466
24.68,-149.444485327832
24.69,-149.295446016626
24.7,-149.146228676128
24.71,-148.996832437455
24.72,-148.847256403868
24.73,-148.697499692178
24.74,-148.547561412147
24.75,-148.397440655871
24.76,-148.247136541385
24.77,-148.09664816845
24.78,-147.945974625845
24.79,-147.795115020763
24.8,-147.644068433517
24.81,-147.492833967444
24.82,-147.341410699619
24.83,-147.189797711221
24.84,-147.037994087924
24.85,-146.885998912351
24.86,-146.733811252837
24.87,-146.581430183609
24.88,-146.428854776386
24.89,-146.276084076849
24.9,-146.123117176929
24.91,-145.969953112464
24.92,-145.816590954937
24.93,-145.663029738651
24.94,-145.509268521077
24.95,-145.355306346185
24.96,-145.201142255271
24.97,-145.046775284221
24.98,-144.892204470325
24.99,-144.737428835412
25,-144.582447412997
25.01,-144.427259222257
25.02,-144.271863281186
25.03,-144.116258604523
25.04,-143.960444197183
25.05,-143.804419075165
25.06,-143.648182232337
25.07,-143.491732666508
25.08,-143.335069377606
25.09,-143.178191349569
25.1,-143.021097569952
25.11,-142.863787014695
25.12,-142.706258663458
25.13,-142.548511482395
25.14,-142.390544448197
25.15,-142.232356517447
25.16,-142.073946640512
25.17,-141.915313783505
25.18,-141.756456884751
25.19,-141.597374888283
25.2,-141.43806673396
25.21,-141.278531354771
25.22,-141.118767678261
25.23,-140.958774627063
25.24,-140.798551121502
25.25,-140.638096067121
25.26,-140.477408380058
25.27,-140.31648695536
25.28,-140.155330691946
25.29,-139.993938483007
25.3,-139.832309209719
25.31,-139.670441751926
25.32,-139.50833498574
25.33,-139.345987780982
25.34,-139.183398999939
25.35,-139.020567496475
25.36,-138.857492122571
25.37,-138.694171723076
25.38,-138.530605142435
25.39,-138.366791200247
25.4,-138.202728735443
25.41,-138.038416562616
25.42,-137.873853494148
25.43,-137.709038343351
25.44,-137.543969907503
25.45,-137.378646979639
25.46,-137.213068348241
25.47,-137.047232797852
25.48,-136.881139098721
25.49,-136.714786021056
25.5,-136.548172323891
25.51,-136.381296763073
25.52,-136.214158082933
25.53,-136.046755023869
25.54,-135.879086318085
25.55,-135.711150689334
25.56,-135.54294685562
