"Freq [GHz]","dB(S(1:1,1:1)) []"
0.1,-3.68224516774995
0.11,-3.38494539540016
0.12,-3.01315356724589
0.13,-2.52800073891838
0.14,-1.83404776478777
0.15,-1.92865493310657E-15
0.16,7.92098581026509E-12
0.17,-2.76858415647493E-12
0.18,-0.000155447389004719
0.19,0.000239505622806785
0.2,0.000545774702246809
0.21,-1.50666523374416E-11
0.22,8.64744252370032E-05
0.23,-6.89011974852597E-12
0.24,-2.97197798483957E-05
0.25,3.07504642840012E-05
0.26,-4.17708085413226E-11
0.27,-6.40868791347831E-06
0.28,-9.72501099597821E-05
0.29,5.61238585533832E-12
0.3,-0.890878326738875
0.31,-5.50803932072855
0.32,-7.72719917007355
0.33,-9.43516970608236
0.34,-10.8796420762053
0.35,-12.1642221395213
0.36,-13.3380219967165
0.37,-14.4348931575269
0.38,-15.4801956752121
0.39,-16.4945707305974
0.4,-17.4973648565662
0.41,-18.5112815921438
0.42,-19.5700852193573
0.43,-20.7336275171161
0.44,-22.1548796771351
0.45,-24.439488118042
0.46,-20.7989170662342
0.47,-19.3044384337383
0.48,-18.2974083639082
0.49,-17.5414655317947
0.5,-16.9408566763654
0.51,-16.4456269840978
0.52,-16.0277389820958
0.53,-15.6693136436673
0.54,-15.3573215606234
0.55,-15.081577995199
0.56,-14.834072439735
0.57,-14.6116874368654
0.58,-14.4106220156169
0.59,-14.2270065776147
0.6,-14.058210657213
0.61,-13.9020565057321
0.62,-13.7567090523827
0.63,-13.6205928715843
0.64,-13.49232706106
0.65,-13.370671215639
0.66,-13.2544769080444
0.67,-13.1426392575429
0.68,-13.0340418126214
0.69,-12.9274834870837
0.7,-12.8215639040308
0.71,-12.7144700602943
0.72,-12.6035151410365
0.73,-12.4839499806249
0.74,-12.3440885275287
0.75,-12.1133200832668
0.76,-12.1649568838376
0.77,-12.1846635654653
0.78,-12.203656673172
0.79,-12.2266748686599
0.8,-12.2560293639673
0.81,-12.2935727712681
0.82,-12.3413616107634
0.83,-12.4018777066575
0.84,-12.4785659565577
0.85,-12.5765763691072
0.86,-12.7039920745999
0.87,-12.8751331732062
0.88,-13.1202158072051
0.89,-13.5231718428667
0.9,-15.3683092007579
0.91,-16.1984803786496
0.92,-16.3946222945065
0.93,-16.4552729114946
0.94,-16.4579087430374
0.95,-16.431460983358
0.96,-16.3893145926919
0.97,-16.3385150112238
0.98,-16.2831103498443
0.99,-16.2254813784511
1,-16.1670093198836
